story,emotion,text,id,prolific
disappointment,disappointment,data/disappointment_disappointment.mp4,0,http://38.180.81.115:8000/0
disappointment,disgust,data/disappointment_disgust.mp4,1,http://38.180.81.115:8000/1
disappointment,confusion,data/disappointment_confusion.mp4,2,http://38.180.81.115:8000/2
disappointment,neutral,data/disappointment_neutral.mp4,3,http://38.180.81.115:8000/3
disappointment,contentment,data/disappointment_contentment.mp4,4,http://38.180.81.115:8000/4
disappointment,joy,data/disappointment_joy.mp4,5,http://38.180.81.115:8000/5
disappointment,surprise,data/disappointment_surprise.mp4,6,http://38.180.81.115:8000/6
disappointment,none,data/disappointment_none.mp4,7,http://38.180.81.115:8000/7
disgust,disappointment,data/disgust_disappointment.mp4,8,http://38.180.81.115:8000/8
disgust,disgust,data/disgust_disgust.mp4,9,http://38.180.81.115:8000/9
disgust,confusion,data/disgust_confusion.mp4,10,http://38.180.81.115:8000/10
disgust,neutral,data/disgust_neutral.mp4,11,http://38.180.81.115:8000/11
disgust,contentment,data/disgust_contentment.mp4,12,http://38.180.81.115:8000/12
disgust,joy,data/disgust_joy.mp4,13,http://38.180.81.115:8000/13
disgust,surprise,data/disgust_surprise.mp4,14,http://38.180.81.115:8000/14
disgust,none,data/disgust_none.mp4,15,http://38.180.81.115:8000/15
confusion,disappointment,data/confusion_disappointment.mp4,16,http://38.180.81.115:8000/16
confusion,disgust,data/confusion_disgust.mp4,17,http://38.180.81.115:8000/17
confusion,confusion,data/confusion_confusion.mp4,18,http://38.180.81.115:8000/18
confusion,neutral,data/confusion_neutral.mp4,19,http://38.180.81.115:8000/19
confusion,contentment,data/confusion_contentment.mp4,20,http://38.180.81.115:8000/20
confusion,joy,data/confusion_joy.mp4,21,http://38.180.81.115:8000/21
confusion,surprise,data/confusion_surprise.mp4,22,http://38.180.81.115:8000/22
confusion,none,data/confusion_none.mp4,23,http://38.180.81.115:8000/23
neutral,disappointment,data/neutral_disappointment.mp4,24,http://38.180.81.115:8000/24
neutral,disgust,data/neutral_disgust.mp4,25,http://38.180.81.115:8000/25
neutral,confusion,data/neutral_confusion.mp4,26,http://38.180.81.115:8000/26
neutral,neutral,data/neutral_neutral.mp4,27,http://38.180.81.115:8000/27
neutral,contentment,data/neutral_contentment.mp4,28,http://38.180.81.115:8000/28
neutral,joy,data/neutral_joy.mp4,29,http://38.180.81.115:8000/29
neutral,surprise,data/neutral_surprise.mp4,30,http://38.180.81.115:8000/30
neutral,none,data/neutral_none.mp4,31,http://38.180.81.115:8000/31
contentment,disappointment,data/contentment_disappointment.mp4,32,http://38.180.81.115:8000/32
contentment,disgust,data/contentment_disgust.mp4,33,http://38.180.81.115:8000/33
contentment,confusion,data/contentment_confusion.mp4,34,http://38.180.81.115:8000/34
contentment,neutral,data/contentment_neutral.mp4,35,http://38.180.81.115:8000/35
contentment,contentment,data/contentment_contentment.mp4,36,http://38.180.81.115:8000/36
contentment,joy,data/contentment_joy.mp4,37,http://38.180.81.115:8000/37
contentment,surprise,data/contentment_surprise.mp4,38,http://38.180.81.115:8000/38
contentment,none,data/contentment_none.mp4,39,http://38.180.81.115:8000/39
joy,disappointment,data/joy_disappointment.mp4,40,http://38.180.81.115:8000/40
joy,disgust,data/joy_disgust.mp4,41,http://38.180.81.115:8000/41
joy,confusion,data/joy_confusion.mp4,42,http://38.180.81.115:8000/42
joy,neutral,data/joy_neutral.mp4,43,http://38.180.81.115:8000/43
joy,contentment,data/joy_contentment.mp4,44,http://38.180.81.115:8000/44
joy,joy,data/joy_joy.mp4,45,http://38.180.81.115:8000/45
joy,surprise,data/joy_surprise.mp4,46,http://38.180.81.115:8000/46
joy,none,data/joy_none.mp4,47,http://38.180.81.115:8000/47
surprise,disappointment,data/surprise_disappointment.mp4,48,http://38.180.81.115:8000/48
surprise,disgust,data/surprise_disgust.mp4,49,http://38.180.81.115:8000/49
surprise,confusion,data/surprise_confusion.mp4,50,http://38.180.81.115:8000/50
surprise,neutral,data/surprise_neutral.mp4,51,http://38.180.81.115:8000/51
surprise,contentment,data/surprise_contentment.mp4,52,http://38.180.81.115:8000/52
surprise,joy,data/surprise_joy.mp4,53,http://38.180.81.115:8000/53
surprise,surprise,data/surprise_surprise.mp4,54,http://38.180.81.115:8000/54
surprise,none,data/surprise_none.mp4,55,http://38.180.81.115:8000/55
attention,attention,data/attention_test.mp4,56,http://38.180.81.115:8000/56
